"Ano","Resposta","Tamanho_Amostra","Latitude","Longitude","Tabaco_Mascavel","Ja_fumou","Fuma_regularmente","Masculino","Ensino_Fund"
2009,4.4,1024,32.839681093,-83.627580346,0,0,0,0,1
2002,52.2,1546,41.56266102,-72.649840952,0,1,0,0,0
1999,1.8,573,38.3477403,-98.200781227,1,0,1,1,1
2013,2.1,1222,39.766910452,-86.149960194,1,0,0,1,1
2006,15.4,2097,40.130570048,-74.273691288,0,0,0,0,0
2011,1.5,1021,47.475319779,-100.118421049,0,0,1,0,1
2000,9.4,761,34.748650124,-92.274490743,1,1,0,0,1
2015,3.8,837,38.635790776,-92.566300053,1,0,0,1,1
2013,3.6,787,38.665510202,-80.712640135,1,0,0,0,0
2002,8.2,1017,35.472031356,-97.521070214,1,1,0,0,1
2009,1.4,945,47.475319779,-100.118421049,0,0,1,1,1
2005,55.2,832,47.475319779,-100.118421049,0,1,0,0,0
2005,60.5,1008,34.748650124,-92.274490743,0,1,0,0,0
2000,2.6,5246,35.68094058,-85.774490914,1,0,1,1,1
2008,1,1514,40.130570048,-74.273691288,1,0,0,0,1
2000,13.7,1157,42.827001032,-75.543970427,0,0,1,1,0
2009,16,619,42.469400913,-93.816490556,1,0,0,1,0
2005,15.3,1429,44.353130053,-100.373530637,1,1,0,1,1
2009,19.5,1021,47.475319779,-100.118421049,0,1,0,0,1
2007,19.3,515,33.998821303,-81.045371207,1,0,0,1,0
2009,8.2,794,32.745510099,-89.538030825,0,0,1,1,0
2008,22,1436,39.766910452,-86.149960194,0,1,0,1,1
2001,2.6,773,41.708280193,-71.522470314,0,0,1,0,1
2010,6.6,1205,34.748650124,-92.274490743,1,1,0,0,1
2005,3.7,777,21.304850435,-157.857749403,0,0,1,0,0
2005,12.6,728,38.635790776,-92.566300053,0,0,1,1,0
2005,0,654,40.485010283,-88.997710178,1,0,1,0,0
2002,0.6,945,35.472031356,-97.521070214,1,0,1,0,0
2006,0.5,1177,41.641040988001,-99.365720623,1,0,1,0,1
1999,34,908,35.472031356,-97.521070214,0,0,0,0,0
2000,5.6,792,38.3477403,-98.200781227,1,1,0,0,1
2009,43.5,737,38.635790776,-92.566300053,0,1,0,1,0
2000,2.2,707,42.469400913,-93.816490556,1,0,0,0,0
2015,9.7,1130,41.641040988001,-99.365720623,0,0,0,1,0
2002,1.7,1315,41.56266102,-72.649840952,0,0,1,0,1
2000,19.2,802,32.745510099,-89.538030825,0,0,0,1,1
2005,8.3,776,21.304850435,-157.857749403,1,1,0,0,0
2004,3.6,1280,39.008830667,-75.577741168,1,1,0,0,1
2010,23.2,565,32.840571122,-86.631860762,0,1,0,0,1
2005,2.1,951,32.839681093,-83.627580346,1,0,0,0,1
2000,46.3,609,37.645970271,-84.774971048,0,1,0,0,1
2003,2.7,801,43.682630005,-114.363730042,1,0,0,0,1
2003,9.2,850,47.475319779,-100.118421049,0,0,0,1,1
2015,2,1081,40.130570048,-74.273691288,1,1,0,0,1
2005,17.2,1190,41.708280193,-71.522470314,0,1,0,0,1
2008,13.9,1368,37.645970271,-84.774971048,0,0,1,1,0
2002,9.5,794,42.27687047,-72.082690675,0,0,1,0,0
2003,4.3,1829,44.661319543001,-84.71439027,1,0,0,0,0
2000,5.7,710,39.766910452,-86.149960194,1,1,0,0,1
2007,9.8,762,43.655950113,-71.50036092,0,0,1,1,0
2014,0.7,970,40.130570048,-74.273691288,1,0,0,1,1
2013,12.1,959,47.475319779,-100.118421049,1,1,0,1,1
2012,1.2,1133,39.008830667,-75.577741168,1,0,0,0,0
1999,14.7,212,34.748650124,-92.274490743,1,1,0,0,1
2004,11,1471,32.745510099,-89.538030825,0,0,0,0,1
2012,0.3,754,44.393191174,-89.816370742,1,0,1,0,0
2003,1.5,1863,44.661319543001,-84.71439027,0,0,1,0,1
2008,5.9,916,39.008830667,-75.577741168,1,1,0,0,0
2004,44.6,1085,40.130570048,-74.273691288,0,1,0,1,0
2000,68.7,1180,31.827240407,-99.426770206,0,1,0,1,0
2009,18.9,670,33.998821303,-81.045371207,1,1,0,1,1
2005,1.6,703,39.360700171,-111.587130635,0,0,0,1,1
2007,12.9,634,38.635790776,-92.566300053,1,1,0,1,1
2015,2.7,882,38.665510202,-80.712640135,1,0,1,1,1
1999,7.7,742,35.68094058,-85.774490914,1,0,1,1,0
2015,3.7,1701,35.466220975,-79.159250463,0,0,1,1,0
2002,0.3,5153,40.793730152,-77.860700294,1,0,1,0,0
2007,8.8,903,34.748650124,-92.274490743,0,0,0,1,1
2007,0.2,2147,39.360700171,-111.587130635,1,0,1,0,0
2006,11.8,1803,39.766910452,-86.149960194,1,1,0,1,1
2010,0.1,2070,37.645970271,-84.774971048,1,0,1,0,1
2007,26.6,582,38.665510202,-80.712640135,1,0,0,1,0
2015,25.5,776,32.745510099,-89.538030825,1,1,0,1,0
2013,29.1,726,21.304850435,-157.857749403,0,1,0,0,0
2014,0.2,1340,40.793730152,-77.860700294,1,0,1,0,1
2006,2.8,1124,42.469400913,-93.816490556,1,0,0,0,0
2000,0,1029,41.56266102,-72.649840952,1,0,1,0,1
2000,74.1,590,37.645970271,-84.774971048,0,1,0,0,0
2011,6.7,673,33.998821303,-81.045371207,1,0,1,1,0
2011,2,897,38.635790776,-92.566300053,1,0,0,0,1
2011,11.1,1002,41.56266102,-72.649840952,0,1,0,1,1
2004,0.2,957,39.766910452,-86.149960194,1,0,1,0,1
1999,71.9,706,35.68094058,-85.774490914,0,1,0,0,0
2015,7.7,933,47.475319779,-100.118421049,1,1,0,1,1
2006,15.9,815,42.469400913,-93.816490556,0,1,0,0,1
2000,13.7,954,43.235541343,-108.109830353,1,1,0,0,1
1999,47.3,622,35.68094058,-85.774490914,0,1,0,1,1
2014,22,1026,40.793730152,-77.860700294,1,1,0,1,0
2009,28.3,809,32.745510099,-89.538030825,1,1,0,1,0
1999,39.3,194,34.748650124,-92.274490743,1,1,0,1,1
